,Game,Date,Home,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,NumPlayers,Thr,OppStart,Unnamed: 0,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,firstInit
174,115,Aug 12,True,COL,"W,7-0",35,31,7,7,3,0,1,7,4,1,10,0,0,0,0,0,0,0,0.246,0.327,0.439,0.766,4,13,R,G.Márquez(24),1407,109.0,3.86,1.272,8.3,1.1,3.2,8.8,2.75,G
175,116,Aug 13,True,COL,"W,5-4",39,35,5,11,3,0,1,5,3,0,6,1,0,0,0,0,0,0,0.247,0.327,0.44,0.767,10,17,L,A.Gomber(27),1411,106.0,4.61,1.24,8.0,1.6,3.2,8.8,2.76,A
176,117,Aug 14,True,COL,"L,1-4",34,31,1,7,0,0,0,1,3,0,9,0,0,0,0,3,1,0,0.246,0.327,0.438,0.765,6,18,L,K.Freeland(62),1410,111.0,4.63,1.417,9.9,1.5,2.8,7.8,2.76,K
177,118,Aug 15,True,COL,"W,5-2",36,33,5,10,2,0,0,5,1,0,10,2,0,0,1,2,1,0,0.247,0.327,0.437,0.765,7,16,R,J.Gray(41),1409,105.0,4.22,1.329,8.5,1.3,3.5,9.5,2.71,J
178,119,Aug 16,True,NYM,"W,7-5",37,36,7,13,2,1,3,7,1,0,6,0,0,0,0,0,0,0,0.248,0.327,0.44,0.767,6,19,L,R.Hill(43),2608,105.0,4.02,1.279,8.8,1.0,2.7,8.4,3.11,R
179,120,Aug 17,True,NYM,"W,3-2",30,28,3,5,0,0,2,3,2,0,10,0,0,0,0,1,0,0,0.247,0.327,0.44,0.767,3,14,R,M.Stroman(62),2603,133.0,3.49,1.145,8.1,0.9,2.2,7.9,3.59,M
180,121,Aug 18,True,NYM,"L,2-6",45,41,2,7,1,0,0,2,3,1,14,1,0,0,0,2,1,0,0.247,0.326,0.437,0.763,10,23,R,T.Megill(62),2606,89.0,4.69,1.283,8.8,1.9,2.7,9.9,3.67,T
181,122,Aug 20,False,OAK,"L,1-4",35,31,1,5,0,0,1,1,4,0,5,0,0,0,0,1,0,0,0.246,0.326,0.436,0.761,7,9,R,J.Kaprielian(57),2917,101.0,4.33,1.223,7.9,1.4,3.1,9.3,3.0,J
182,123,Aug 21,False,OAK,"W,6-5",42,36,6,10,1,0,4,6,4,0,6,2,0,0,0,0,0,1,0.246,0.326,0.438,0.764,9,12,L,S.Manaea(48),2914,105.0,3.66,1.227,9.0,1.3,2.1,9.7,4.73,S
183,124,Aug 22,False,OAK,"W,2-1",34,30,2,4,0,0,1,2,4,0,13,0,0,0,0,0,2,0,0.245,0.325,0.436,0.762,5,12,R,F.Montas(80),2913,122.0,3.37,1.182,7.9,1.0,2.7,10.0,3.63,F
